execution_time,side,quantity,price,product,profit
2022-01-01 16:00:00+01:00,buy,0.081395349,60.55,2022-01-02 02:00:00+01:00,-4.92848838195
2022-01-01 16:00:00+01:00,buy,0.5,57.21,2022-01-02 05:00:00+01:00,-28.605
2022-01-01 16:00:00+01:00,sell,0.5,73.22,2022-01-02 06:00:00+01:00,36.61
2022-01-01 16:45:00+01:00,buy,0.41860465,55.56,2022-01-02 02:00:00+01:00,-23.257674354000002
2022-01-01 16:45:00+01:00,sell,0.5,61.32,2022-01-02 05:00:00+01:00,30.66
2022-01-01 16:45:00+01:00,buy,0.07,65.08,2022-01-02 06:00:00+01:00,-4.5556
2022-01-01 17:45:00+01:00,sell,0.5,61.93,2022-01-02 02:00:00+01:00,30.965
2022-01-01 17:45:00+01:00,buy,0.43,57.5,2022-01-02 06:00:00+01:00,-24.724999999999998
2022-01-01 17:45:00+01:00,buy,0.5,53.55,2022-01-02 07:00:00+01:00,-26.775
2022-01-01 17:45:00+01:00,sell,0.43,64.08,2022-01-02 09:00:00+01:00,27.554399999999998
2022-01-01 18:45:00+01:00,sell,0.41860465,56.6,2022-01-02 07:00:00+01:00,23.69302319
2022-01-01 18:45:00+01:00,buy,0.93,55.69,2022-01-02 09:00:00+01:00,-51.7917
2022-01-01 18:45:00+01:00,sell,0.5,70.07,2022-01-02 10:00:00+01:00,35.035
2022-01-01 19:00:00+01:00,sell,1.1630164e-09,56.6,2022-01-02 07:00:00+01:00,6.582672824e-08
2022-01-01 19:45:00+01:00,buy,0.5,50.36,2022-01-02 00:00:00+01:00,-25.18
2022-01-01 19:45:00+01:00,buy,0.5,50.58,2022-01-02 01:00:00+01:00,-25.29
2022-01-01 19:45:00+01:00,buy,9.9999997e-10,57.05,2022-01-02 02:00:00+01:00,-5.7049998288499995e-08
2022-01-01 19:45:00+01:00,sell,0.36,65.88,2022-01-02 03:00:00+01:00,23.7168
2022-01-01 19:45:00+01:00,sell,0.5,71.09,2022-01-02 04:00:00+01:00,35.545
